# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	41768
#@/user_id	Squirrelx_Macx
bao zhuang bu 	包裝部	c=1 d=8.7339e-26 t=41768
bao zhuang ke yi de 	包裝可以的	c=1 d=6.06944e-09 t=41768
bao zi 	包子	c=1 d=0.759572 t=41768
bei 	倍	c=2 d=0.00296761 t=41768
bei 	唄	c=13 d=0.0518189 t=41768
bei 	盃	c=0 d=1.01039e-05 t=41768
bei 	被	c=41 d=0.994339 t=41768
bei bi 	被逼	c=1 d=2.56836e-09 t=41768
bei bu 	背部	c=1 d=3.58053e-06 t=41768
bei ci 	被刺	c=1 d=2.765e-24 t=41768
bei fen 	備份	c=14 d=0.900325 t=41768
bei fen de 	備份的	c=1 d=1.56559e-09 t=41768
bei fen xia 	備份嚇	c=1 d=4.85909e-10 t=41768
bei fen yi xia 	備份一下	c=1 d=4.78675e-10 t=41768
bei fen zhong 	備份中	c=1 d=1 t=220
bei guang 	背光	c=1 d=2.1253e-10 t=41768
bei jing 	北京	c=3 d=0.00748253 t=41768
bei jing 	背景	c=6 d=0.0319048 t=41768
bei jing yu shang 	北京遇上	c=1 d=0.00148106 t=41768
bei ke 	貝殼	c=0 d=0.00352602 t=41768
bei ke tou 	貝殼頭	c=1 d=0.035437 t=41768
bei mian 	背面	c=1 d=4.34022e-05 t=41768
bei ni 	被你	c=1 d=0.000278804 t=41768
bei pian 	被騙	c=1 d=1.29689e-29 t=41768
bei ren 	被人	c=1 d=0.0015415 t=41768
bei shang 	悲傷	c=1 d=0.00109719 t=41768
bei shang 	背上	c=1 d=0.364219 t=41768
bei si 	貝斯	c=2 d=0.377192 t=41768
bei si shou 	贝斯手	c=1 d=0.0605068 t=41768
bei ta 	被他	c=1 d=0.00215492 t=41768
bei tai 	備胎	c=1 d=0.00660453 t=41768
bei wang lu 	備忘錄	c=3 d=0.207126 t=41768
bei wen 	被問	c=1 d=6.49271e-08 t=41768
bei yang hua 	被氧化	c=1 d=7.67728e-09 t=41768
bei yi wang 	被遺忘	c=0 d=0.0241714 t=41768
bei yi wang zhe 	被遺忘者	c=1 d=0.242926 t=41768
bei yong 	備用	c=1 d=2.55468e-05 t=41768
bei zhang kong 	被掌控	c=1 d=1.80958e-07 t=41768
bei zhu 	備註	c=1 d=5.3952e-06 t=41768
ben 	本	c=8 d=0.0213151 t=41768
ben 	笨	c=1 d=0.00189223 t=41768
ben ci 	本次	c=2 d=0.000590229 t=41768
ben di 	本地	c=7 d=0.66365 t=41768
ben gong zhu 	本公主	c=1 d=0.0212797 t=41768
ben ji 	本機	c=1 d=0.0118551 t=41768
ben lai 	本來	c=16 d=1.05513 t=41768
ben lai jiu 	本來就	c=4 d=4.79496e-05 t=41768
ben lai jiu shi 	本來就是	c=1 d=0.204948 t=41768
ben lai xiang 	本來想	c=1 d=0.748264 t=41768
ben neng 	本能	c=1 d=0.123687 t=41768
ben pao 	奔跑	c=2 d=1.39367e-34 t=41768
ben pian 	本篇	c=1 d=0.151072 t=41768
ben ren 	本人	c=1 d=0.0753961 t=41768
ben se 	本色	c=1 d=8.58924e-06 t=41768
ben shen 	本身	c=5 d=0.02973 t=41768
ben shi 	本事	c=1 d=0.496585 t=41768
ben teng 	奔騰	c=1 d=3.52722e-06 t=41768
ben xi 	本兮	c=12 d=2.97481e-17 t=41768
ben xue qi 	本學期	c=1 d=0.236928 t=41768
ben yuan yin 	本原因	c=1 d=0.00771183 t=41768
ben zhi 	本職	c=1 d=0.000459671 t=41768
ben zhou 	本週	c=6 d=0.536955 t=41768
ben zi 	本子	c=2 d=0.499079 t=41768
beng kui 	崩潰	c=2 d=0.628135 t=41768
beng kui guo 	崩潰過	c=1 d=7.42989e-06 t=41768
bi 	必	c=1 d=2.22857e-16 t=41768
bi 	比	c=35 d=0.395043 t=41768
bi 	筆	c=3 d=0.0217096 t=41768
bi 	逼	c=4 d=0.00132016 t=41768
bi bao 	閉包	c=1 d=4.95978e-16 t=41768
bi bei 	必備	c=1 d=2.11111e-26 t=41768
bi bi 	筆筆	c=0 d=6.42592e-05 t=41768
bi bi niao 	筆筆鳥	c=1 d=0.000645813 t=41768
bi bu ke shao 	必不可少	c=1 d=4.87581e-21 t=41768
bi bu shang 	比不上	c=1 d=1.22561e-11 t=41768
bi diao 	筆調	c=1 d=0.000668817 t=41768
bi ge 	逼格	c=1 d=3.09724e-06 t=41768
bi hui 	必會	c=0 d=0.0289384 t=41768
bi ji 	筆記	c=3 d=0.585669 t=41768
bi ji ben 	筆記本	c=23 d=0.396531 t=41768
bi ji ben de 	筆記本的	c=1 d=1.15321e-30 t=41768
bi ji ben yao 	筆記本要	c=1 d=0.0202419 t=41768
bi jiao 	比較	c=18 d=0.155182 t=41768
bi jiao cha 	比較差	c=1 d=0.00887071 t=41768
bi jiao duo 	比較多	c=5 d=0.306864 t=41768
bi jiao gao 	比較高	c=2 d=0.447088 t=41768
bi jiao hao 	比較好	c=4 d=0.0884781 t=41768
bi jiao hao de 	比較好的	c=1 d=1 t=4366
bi jiao kuai 	比較快	c=1 d=0.024234 t=41768
bi jiao re 	比較熱	c=1 d=2.2502e-12 t=41768
bi jiao sao 	比較騷	c=2 d=4.13882e-26 t=41768
bi jiao wen 	比較穩	c=1 d=1 t=4834
bi jiao you qu 	比較有趣	c=1 d=1 t=2980
bi jing 	畢竟	c=27 d=0.329895 t=41768
bi le 	比了	c=1 d=0.0285814 t=41768
bi le di 	比樂蒂	c=1 d=2.01129e-15 t=41768
bi li 	比例	c=1 d=2.69307e-08 t=41768
bi li bi li 	嗶哩嗶哩	c=2 d=0.298391 t=41768
bi li shi 	比利時	c=1 d=0.0212797 t=41768
bi mai 	必買	c=1 d=0.0227089 t=41768
bi ni 	逼你	c=2 d=6.92995e-10 t=41768
bi ni gao 	比你高	c=1 d=1 t=602
bi ni men 	比你們	c=1 d=1.64984e-08 t=41768
bi po 	逼迫	c=1 d=1.1057e-35 t=41768
bi qi 	比起	c=2 d=0.66365 t=41768
bi ran 	必然	c=4 d=0.650509 t=41768
bi ren 	逼人	c=1 d=0.00680566 t=41768
bi ru 	比如	c=11 d=0.795678 t=41768
bi ru shuo 	比如說	c=1 d=0.0143357 t=41768
bi ru wo 	比如我	c=2 d=0.143704 t=41768
bi sai 	比賽	c=2 d=0.231195 t=41768
bi wo 	比我	c=6 d=0.0121552 t=41768
bi wo gao 	比我高	c=1 d=0.000330468 t=41768
bi xiu 	必修	c=1 d=0.0340475 t=41768
bi xu 	必須	c=4 d=0.199888 t=41768
bi xu de 	必須的	c=1 d=2.03081e-11 t=41768
bi xu huan 	必須換	c=1 d=0.00453922 t=41768
bi xu ling 	必須領	c=1 d=1 t=237
bi xu you 	必須有	c=1 d=3.10525e-07 t=41768
bi xue 	必學	c=0 d=0.0289384 t=41768
bi xue bi hui 	必學必會	c=1 d=0.290835 t=41768
bi yao 	必要	c=1 d=5.0748e-21 t=41768
bi yao de 	必要的	c=3 d=3.90761e-05 t=41768
bi ye 	畢業	c=2 d=0.0804596 t=41768
bi ye le 	畢業了	c=1 d=7.0189e-13 t=41768
bi ye pian 	畢業篇	c=1 d=1 t=2608
bi ye zhan 	畢業展	c=1 d=2.69261e-06 t=41768
bi yu 	比喻	c=1 d=2.09117e-32 t=41768
bi yu cheng 	比喻成	c=1 d=2.01478e-06 t=41768
bi zhi 	壁紙	c=5 d=0.0057417 t=41768
bi zhi le 	壁紙了	c=1 d=0.0342181 t=41768
bi zi 	鼻子	c=1 d=6.51174e-13 t=41768
bi zui 	閉嘴	c=1 d=0.00388746 t=41768
bi zuo 	必做	c=1 d=3.45797e-08 t=41768
bian 	變	c=7 d=0.00283702 t=41768
bian 	遍	c=3 d=0.0475963 t=41768
bian 	邊	c=3 d=0.835834 t=41768
bian cheng 	編程	c=12 d=1.09152 t=41768
bian cheng 	變成	c=6 d=0.00806679 t=41768
bian cheng fang fa xue 	變成方法學	c=1 d=2.34643e-34 t=41768
bian dang 	便當	c=1 d=1.09005 t=1575
bian dang lian 	便當臉	c=1 d=1 t=1576
bian de 	變得	c=6 d=1.65783e-06 t=41768
bian fu 	蝙蝠	c=6 d=0.0477729 t=41768
bian fu xia 	蝙蝠俠	c=2 d=3.28827e-08 t=41768
bian hua 	變化	c=3 d=2.50522e-10 t=41768
bian hua le 	變化了	c=1 d=2.66672e-10 t=41768
bian ji qi 	編輯器	c=2 d=0.609571 t=41768
bian ku 	變酷	c=1 d=0.398519 t=41768
bian kuang 	邊框	c=2 d=1.91956e-08 t=41768
bian le 	變了	c=2 d=2.76171e-10 t=41768
bian man 	變慢	c=1 d=1.63738e-07 t=41768
bian pai 	編排	c=1 d=0.0317456 t=41768
bian pin 	變頻	c=3 d=1.02751 t=1175
bian ping 	扁平	c=3 d=0.204808 t=41768
bian ping hua 	扁平化	c=1 d=5.6445e-08 t=41768
bian qian 	便籤	c=1 d=5.23753e-10 t=41768
bian sheng 	變聲	c=1 d=1 t=1685
bian tai 	變態	c=3 d=1.13509 t=41768
bian tai de 	變態的	c=1 d=0.869358 t=41768
bian tao 	扁桃	c=1 d=0.865022 t=41768
bian xie 	便攜	c=0 d=0.00291588 t=41768
bian xie hua 	便攜化	c=1 d=0.0293049 t=41768
bian xing 	變形	c=2 d=5.21364e-05 t=41768
bian xing jin gang 	變形金剛	c=1 d=1 t=1609
bian yang 	變羊	c=1 d=0.147342 t=41768
bian yi 	編譯	c=3 d=0.00548905 t=41768
bian yi chu 	編譯出	c=1 d=0.00210172 t=41768
bian yuan 	邊緣	c=3 d=1.94191e-06 t=41768
bian zuo 	邊做	c=1 d=2.45492e-07 t=41768
bian zuo bian ai 	边做边爱	c=1 d=3.26446e-07 t=41768
biao 	標	c=1 d=1 t=1875
biao 	表	c=7 d=0.860708 t=41768
biao bai 	表白	c=1 d=0.737123 t=41768
biao ceng 	表層	c=1 d=0.0130365 t=41768
biao da 	表達	c=3 d=3.37277e-17 t=41768
biao da de 	表達的	c=1 d=0.609571 t=41768
biao ge 	表格	c=1 d=1.12708e-25 t=41768
biao ji 	標記	c=1 d=0.377192 t=41768
biao pei 	標配	c=2 d=0.0103063 t=41768
biao qian 	標籤	c=2 d=5.05985e-07 t=41768
biao qian xia 	標籤下	c=1 d=1.12245e-06 t=41768
biao qing 	表情	c=2 d=0.00977834 t=41768
biao qing bao 	表情包	c=1 d=1 t=1979
biao shi 	表示	c=10 d=0.107528 t=41768
biao shu 	表述	c=1 d=9.37197e-32 t=41768
biao ti 	標題	c=1 d=5.99659e-14 t=41768
biao xian 	表現	c=7 d=0.00089483 t=41768
biao xian fang shi 	表現方式	c=1 d=0.621885 t=41768
